sim_id,z,tier,payout_per_ha,total_claims_php,loss_ratio
1,1.3709584471466685,none,0,0,0
2,-0.5646981713960887,none,0,0,0
3,0.3631284113373392,none,0,0,0
4,0.6328626049610404,none,0,0,0
5,0.40426832314099903,none,0,0,0
6,-0.10612451609148403,none,0,0,0
7,1.511521997438939,none,0,0,0
8,-0.09465903841309756,none,0,0,0
9,2.018423713877042,none,0,0,0
10,-0.062714099052421,none,0,0,0
11,1.3048696542234852,none,0,0,0
12,2.286645392701107,none,0,0,0
13,-1.3888607011123393,mild,18000,180000000,1.1131725417439704
14,-0.27878876681737136,none,0,0,0
15,-0.13332133639365804,none,0,0,0
16,0.6359503980700744,none,0,0,0
17,-0.2842529214160724,none,0,0,0
18,-2.6564554209047757,severe,60000,600000000,3.7105751391465676
19,-2.4404669285755194,moderate,36000,360000000,2.226345083487941
20,1.3201133457301921,none,0,0,0
21,-0.30663859407847455,none,0,0,0
22,-1.78130843398,moderate,36000,360000000,2.226345083487941
23,-0.17191735575962136,none,0,0,0
24,1.2146746991725987,none,0,0,0
25,1.8951934612649652,none,0,0,0
26,-0.43046913160619965,none,0,0,0
27,-0.25726938276892963,none,0,0,0
28,-1.7631630851947802,moderate,36000,360000000,2.226345083487941
29,0.4600973548312714,none,0,0,0
30,-0.6399948759601192,none,0,0,0
31,0.45545012324121936,none,0,0,0
32,0.7048373372288191,none,0,0,0
33,1.0351035219699223,none,0,0,0
34,-0.6089263754072111,none,0,0,0
35,0.5049551232979703,none,0,0,0
36,-1.7170086790733425,moderate,36000,360000000,2.226345083487941
37,-0.784459008379496,none,0,0,0
38,-0.8509075941765183,none,0,0,0
39,-2.414207649946632,moderate,36000,360000000,2.226345083487941
40,0.03612260689225563,none,0,0,0
41,0.20599860020025385,none,0,0,0
42,-0.3610572985486663,none,0,0,0
43,0.7581632356995169,none,0,0,0
44,-0.7267048270765752,none,0,0,0
45,-1.3682810444192945,mild,18000,180000000,1.1131725417439704
46,0.43281802588871715,none,0,0,0
47,-0.8113931761866716,none,0,0,0
48,1.4441012617212527,none,0,0,0
49,-0.43144620261334543,none,0,0,0
50,0.6556478834022068,none,0,0,0
51,0.32192526520394654,none,0,0,0
52,-0.7838389408803754,none,0,0,0
53,1.5757275197919773,none,0,0,0
54,0.6428993057173163,none,0,0,0
55,0.08976064659960567,none,0,0,0
56,0.276550747291463,none,0,0,0
57,0.6792888160552708,none,0,0,0
58,0.0898328865790817,none,0,0,0
