"scenario","mean_loss","sd_loss","prob_zero_loss","VaR_90","VaR_95","VaR_99","TVaR_95","TVaR_99"
"Base case (process risk only)",1334.27771067733,5347.57000373464,0.42505,2285.11277606005,5804.74894060496,27302.7002067838,18946.9244511699,43738.2818629012
"Total risk (process + parameter)",1270.59670602614,9647.02576878411,0.42505,1692.99294220107,4684.81447573986,24478.6839729243,19872.5277869033,58785.1904188679
