"sim_id","n_events","loss"
1,10,370.669507835909
2,8,377.313336597371
3,4,507.222230004814
4,6,60.5766696872519
5,6,110.724554550919
6,12,9147.28612598545
7,0,0
8,4,616.722484719122
9,5,464.945466339001
10,18,1093.7932164429
11,0,0
12,2,37.1449556822341
13,4,2.58063363229984
14,12,510.596539426445
15,7,36.3930841979214
16,0,0
17,0,0
18,6,156.748722099047
19,2,74.5285897241756
20,4,132.018844603752
21,0,0
22,0,0
23,14,1851.39004615396
24,0,0
25,0,0
26,13,342.208583071612
27,5,67.0683413999992
28,0,0
29,0,0
30,0,0
31,0,0
32,5,1211.65980238542
33,7,457.668653107132
34,0,0
35,1,3684.19202205631
36,0,0
37,8,195.448106785923
38,0,0
39,4,266.23443222605
40,4,592.091474927642
41,0,0
42,9,76.0537402209174
43,0,0
44,0,0
45,6,1666.35370809115
46,0,0
47,0,0
48,4,23550.6768298631
49,0,0
50,14,1026.26484512263
51,0,0
52,5,12.6505445204424
53,8,1396.44055963495
54,0,0
55,6,267.704163237208
56,4,2959.38283275409
57,0,0
58,0,0
59,0,0
60,5,198.700305521863
61,0,0
62,0,0
63,14,928.707556722786
64,0,0
65,12,273.26297025012
66,5,3.14353646729079
67,2,10133.9186499178
68,0,0
69,1,16.8234613619231
70,0,0
71,3,2.42990437829184
72,9,2632.25400258521
73,3,444.608837156297
74,0,0
75,4,2.42335011529789
76,0,0
77,7,618.07810415387
78,5,10.957864473275
79,8,2958.02010448719
80,4,331.529857446986
81,3,76.1108465464501
82,6,152.195261317325
83,7,164.930433615974
84,0,0
85,0,0
86,6,39.1153110546629
87,2,1.64077524588877
88,2,16.1923522482415
89,8,345.27694529847
90,7,143.800083083648
91,0,0
92,14,5750.3275537241
93,6,8.63713680337193
94,7,533.807268961475
95,8,445.426959839443
96,9,22.8526678740047
97,7,259.545473350904
98,0,0
99,2,118.497971071615
100,0,0
101,12,10243.673115444
102,0,0
103,0,0
104,3,31.4304166161638
105,6,284.686677418107
106,0,0
107,7,502.846131545946
108,6,100.00884939649
109,0,0
110,3,158.460017160744
111,5,136.868743560646
