"sim_id","n_events","loss","param_mult","loss_total"
1,10,370.669507835909,2.27162900244991,842.023604323884
2,8,377.313336597371,1.09489299046665,413.117727450046
3,4,507.222230004814,1.11001583686867,563.024708117187
4,6,60.5766696872519,1.29717912791646,78.5787915569926
5,6,110.724554550919,1.34900307808564,149.367764908852
6,12,9147.28612598545,17.6828994286523,161750.540610908
7,0,0,0.200432680414498,0
8,4,616.722484719122,0.974626208193474,601.073896789455
9,5,464.945466339001,0.0904675887512845,42.0624952405309
10,18,1093.7932164429,0.848933889878537,928.558129957626
11,0,0,0.522605249557082,0
12,2,37.1449556822341,0.895855982931335,33.2765307836487
13,4,2.58063363229984,1.16345447002819,3.00244973500432
14,12,510.596539426445,0.608748358058135,310.824805006014
15,7,36.3930841979214,0.326676687494253,11.8887721934764
16,0,0,1.27587343212817,0
17,0,0,0.81918381305141,0
18,6,156.748722099047,0.953014910529882,149.383869366897
19,2,74.5285897241756,1.10159613533948,82.1004064124539
20,4,132.018844603752,0.0594138291196714,7.84374507386376
21,0,0,0.81918381305141,0
22,0,0,1.34568364543188,0
23,14,1851.39004615396,1.34568364543188,2491.38530642476
24,0,0,0.149232383742249,0
25,0,0,0.569623372731706,0
26,13,342.208583071612,0.462740935970158,158.353920027579
27,5,67.0683413999992,0.167586893561446,11.2397749915444
28,0,0,0.86809820501069,0
29,0,0,1.11001583686867,0
30,0,0,0.336892606387654,0
31,0,0,0.737986026918575,0
32,5,1211.65980238542,0.289077127884655,350.263135646865
33,7,457.668653107132,0.229720577661983,105.135907369552
34,0,0,1.17712031406393,0
35,1,3684.19202205631,0.455393903910511,1677.75858768018
36,0,0,0.207542807991816,0
37,8,195.448106785923,1.88004519399184,367.451273837677
38,0,0,2.74979570521471,0
39,4,266.23443222605,0.238571794403568,63.5160262281839
40,4,592.091474927642,1.75713699932939,1040.38583758287
41,0,0,0.260937029196956,0
42,9,76.0537402209174,1.94300543637724,147.772830706065
43,0,0,0.158583412699438,0
44,0,0,0.737986026918575,0
45,6,1666.35370809115,0.454950009894113,758.107635983159
46,0,0,1.07815552450719,0
47,0,0,0.551476207048874,0
48,4,23550.6768298631,0.417588761191531,9834.49796260461
49,0,0,0.86809820501069,0
50,14,1026.26484512263,2.00007809991402,2052.60984144142
51,0,0,0.471275536309364,0
52,5,12.6505445204424,0.919508870171643,11.6322878990481
53,8,1396.44055963495,2.74979570521471,3839.92625347181
54,0,0,0.549507601053417,0
55,6,267.704163237208,0.21484062685174,57.5137302407022
56,4,2959.38283275409,0.289077127884655,855.489889603705
57,0,0,1.04158593371639,0
58,0,0,0.575215340343733,0
59,0,0,0.326676687494253,0
60,5,198.700305521863,2.12394535377014,422.02859070587
61,0,0,0.366695171365063,0
62,0,0,0.242553513604885,0
63,14,928.707556722786,0.140700398910386,130.669523701986
64,0,0,0.654579751462648,0
65,12,273.26297025012,0.566825430476292,154.892400745254
66,5,3.14353646729079,1.28554333865845,4.04115236535559
67,2,10133.9186499178,1.29154234781034,13088.3850856338
68,0,0,2.39942734456242,0
69,1,16.8234613619231,2.9846935947202,50.2128773679545
70,0,0,0.180801467379014,0
71,3,2.42990437829184,0.497013755612507,1.2076959008341
72,9,2632.25400258521,0.696307432430836,1832.8580260459
73,3,444.608837156297,0.0620296852389785,27.5789462232734
74,0,0,0.0844484895969322,0
75,4,2.42335011529789,0.289077127884655,0.70053509118926
76,0,0,0.311508105250154,0
77,7,618.07810415387,0.311508105250154,192.53633912158
78,5,10.957864473275,0.237487543659864,2.60235631751577
79,8,2958.02010448719,0.323310601677421,956.359259755661
80,4,331.529857446986,0.175483410082471,58.1779899289526
81,3,76.1108465464501,0.539531572554238,41.0642047256405
82,6,152.195261317325,1.36594308538441,207.890064824674
83,7,164.930433615974,0.296807258958293,48.95254992036
84,0,0,0.298725012341995,0
85,0,0,1.11331524649141,0
86,6,39.1153110546629,0.351080661662319,13.7326292861985
87,2,1.64077524588877,0.305956694103967,0.50200616999975
88,2,16.1923522482415,1.72958122658554,28.0059884628187
89,8,345.27694529847,1.32409446380921,457.179291750659
90,7,143.800083083648,1.55080107803698,223.005323867929
91,0,0,1.02854217969208,0
92,14,5750.3275537241,0.925133018231523,5319.81788559667
93,6,8.63713680337193,0.548448061171807,4.737020933885
94,7,533.807268961475,1.10159613533948,588.040024504085
95,8,445.426959839443,2.0052836782209,893.207412405593
96,9,22.8526678740047,1.60988727914535,36.7902193048939
97,7,259.545473350904,1.73634695246529,450.660991679003
98,0,0,0.743293091748936,0
99,2,118.497971071615,0.605949081755558,71.8037367607419
100,0,0,0.277410117611404,0
101,12,10243.673115444,1.82485686427717,18693.2372001294
102,0,0,0.292545713725276,0
103,0,0,1.60988727914535,0
104,3,31.4304166161638,0.663132139429513,20.8425194138376
105,6,284.686677418107,0.279810682470461,79.6583734986086
106,0,0,1.79035977594284,0
107,7,502.846131545946,4.14565519909714,2084.62667958934
108,6,100.00884939649,6.26973339122902,627.02882247957
109,0,0,0.40850255613555,0
110,3,158.460017160744,0.323310601677421,51.2318034900545
111,5,136.868743560646,1.13933108292947,155.938813820146
112,4,138.184015638001,0.478100249308133,66.0658123269274
113,6,292.470841618352,0.242553513604885,70.9398302615091
114,4,636.889954731368,0.478100249308133,304.497246138913
115,9,291.740631945954,0.463829344269716,135.317866012324
116,3,71.086764977018,0.323310601677421,22.9831047560211
117,0,0,3.59361744968315,0
118,0,0,0.275193453263443,0
119,11,3687.35574470563,2.48095470269309,9148.16257532983
120,0,0,1.15465277546047,0
121,2,0.0490349913337307,1.49433992897086,0.073274945466734
122,5,105.298092261697,0.296840388521313,31.2567266175152
123,8,136.664400876247,0.581706056937772,79.4985097574844
124,2,363.965148009158,0.2395255440648,87.178950097519
125,9,266.073044617096,0.555093765807325,147.695488316324
126,17,381.997457897242,0.0980982337122542,37.4732759022906
127,6,49.9612987316542,0.462740935970158,23.1191381373703
128,2,12.540462687867,1.10019346841309,13.7969351400693
129,0,0,0.974814367032718,0
130,0,0,2.01947677321491,0
131,0,0,2.0052836782209,0
132,9,452.691158663032,0.895855982931335,405.546082908395
133,0,0,0.175483410082471,0
134,0,0,0.478100249308133,0
135,0,0,0.117091350827495,0
136,0,0,0.229720577661983,0
137,7,242.48213095255,0.560784527991003,135.980227352478
138,0,0,0.238571794403568,0
139,9,2227.46018422779,1.39484367453888,3106.95874825733
140,5,345.602819203896,0.0620296852389785,21.4376340929213
